phase,latency_ms,ecdf
detect,1796.5556239942089,0.03571428571428571
detect,1806.794249016093,0.07142857142857142
detect,1810.6584170018323,0.10714285714285714
detect,1831.2085409997962,0.14285714285714285
detect,1833.612082991749,0.17857142857142858
detect,1833.683167991694,0.21428571428571427
detect,1838.8159989845008,0.25
detect,1845.3483330085874,0.2857142857142857
detect,1847.8451239934657,0.32142857142857145
detect,1854.7774170001503,0.35714285714285715
detect,1855.6186669738963,0.39285714285714285
detect,1874.474124982953,0.42857142857142855
detect,1880.9752920060419,0.4642857142857143
detect,1888.0843749793712,0.5
detect,1888.1610829848796,0.5357142857142857
detect,1890.5276239966042,0.5714285714285714
detect,1892.0251670351718,0.6071428571428571
detect,1894.6735830104444,0.6428571428571429
detect,1900.1104580238461,0.6785714285714286
detect,1915.0419590005185,0.7142857142857143
detect,1915.2687919849996,0.75
detect,1921.4572919881903,0.7857142857142857
detect,1925.9378759888932,0.8214285714285714
detect,1980.7100830075797,0.8571428571428571
detect,2003.293667017715,0.8928571428571429
detect,5755.390208010795,0.9285714285714286
detect,5832.001415983541,0.9642857142857143
detect,5984.033124987036,1.0
localize,2471.1677500163205,0.03571428571428571
localize,2574.6687919890974,0.07142857142857142
localize,2683.3807090006303,0.10714285714285714
localize,2699.8252930061426,0.14285714285714285
localize,2701.069666974945,0.17857142857142858
localize,2732.854083995335,0.21428571428571427
localize,2739.020459004678,0.25
localize,2773.4787500230595,0.2857142857142857
localize,2776.38041699538,0.32142857142857145
localize,2781.5831679909024,0.35714285714285715
localize,2805.2357499836944,0.39285714285714285
localize,2807.830790989101,0.42857142857142855
localize,2834.8983749747276,0.4642857142857143
localize,2850.105874997098,0.5
localize,2866.115166019881,0.5357142857142857
localize,2870.0159580330364,0.5714285714285714
localize,2892.076748976251,0.6071428571428571
localize,2892.7753760071937,0.6428571428571429
localize,2977.3220409988426,0.6785714285714286
localize,2985.454457986634,0.7142857142857143
localize,3005.4654570121784,0.75
localize,3138.3134160132613,0.7857142857142857
localize,6627.352083014557,0.8214285714285714
localize,6696.733333024895,0.8571428571428571
localize,6798.298124980647,0.8928571428571429
localize,6955.3160420036875,0.9285714285714286
localize,15368.745584011776,0.9642857142857143
localize,16705.97204301157,1.0
repair,813.643375004176,0.03571428571428571
repair,1011.6672080184799,0.07142857142857142
repair,1039.7574169910513,0.10714285714285714
repair,1055.6172909855377,0.14285714285714285
repair,1059.634459001245,0.17857142857142858
repair,1061.5196659928188,0.21428571428571427
repair,1067.2717079869471,0.25
repair,1070.2937500027474,0.2857142857142857
repair,1077.9790410015266,0.32142857142857145
repair,1078.5604580014478,0.35714285714285715
repair,1103.8657090102788,0.39285714285714285
repair,1115.0478750059847,0.42857142857142855
repair,1138.118333008606,0.4642857142857143
repair,1177.729040995473,0.5
repair,1211.7810000199825,0.5357142857142857
repair,1237.8694580111187,0.5714285714285714
repair,1243.3267909800634,0.6071428571428571
repair,1261.037792020943,0.6428571428571429
repair,1368.8375420169905,0.6785714285714286
repair,1878.0033749935683,0.7142857142857143
repair,1911.1259579949547,0.75
repair,1922.0543749979697,0.7857142857142857
repair,1922.8631660225801,0.8214285714285714
repair,2021.3718329905532,0.8571428571428571
repair,2027.0824579929467,0.8928571428571429
repair,2028.9566659776028,0.9285714285714286
repair,2086.333957995521,0.9642857142857143
repair,2160.2796660154127,1.0
total,5352.284666994819,0.03571428571428571
total,5420.7717909885105,0.07142857142857142
total,5599.282792012673,0.10714285714285714
total,5706.458083004691,0.14285714285714285
total,5706.471832963871,0.17857142857142858
total,5712.669165979605,0.21428571428571427
total,5716.228000004776,0.25
total,5745.379667991074,0.2857142857142857
total,5752.287708019139,0.32142857142857145
total,5799.758166016545,0.35714285714285715
total,5800.294290995225,0.39285714285714285
total,5816.00824999623,0.42857142857142855
total,5831.266792025417,0.4642857142857143
total,5854.39566601417,0.5
total,5898.087665991625,0.5357142857142857
total,5901.45679199486,0.5714285714285714
total,5988.729250006145,0.6071428571428571
total,6007.685374992434,0.6428571428571429
total,6009.382374002598,0.6785714285714286
total,6823.359583009733,0.7142857142857143
total,6944.631291000405,0.75
total,6945.564416033449,0.7857142857142857
total,10647.147290990688,0.8214285714285714
total,10723.646166996332,0.8571428571428571
total,14632.757040992146,0.8928571428571429
total,14665.320832980797,0.9285714285714286
total,20623.58212500112,0.9642857142857143
total,23035.261750017526,1.0
